question_id,language_id,question,default
1698501,19,"de inhoud die u ziet bij een nieuwszender op tv (bijv. op BBC, CNN, NHK) betrouwbaar is",1
1698502,19,"de inhoud die u ziet bij een nieuwsdienst die alleen online of in een app is te zien (bijv. op Buzzfeed, Huffington post etc.) betrouwbaar is",1
1698503,19,de informatie in reclame in een gedrukte krant betrouwbaar is,1
1698504,19,de informatie in reclame op een online krantenwebsite /app betrouwbaar is,1
1698505,19,de informatie in reclame op een commerciële televisiezender of betaaltelevisie betrouwbaar is,1
1698506,19,de informatie in reclame op een commercieel radiostation betrouwbaar is,1
1698507,19,de informatie in reclame in een gedrukt tijdschrift betrouwbaar is,1
1698508,19,de informatie in reclame in een lokale gedrukte of online krant betrouwbaar is,1
1698509,19,de informatie in reclame van zoekmachines betrouwbaar is,1
1698510,19,"de informatie in reclame op een social media site (bijv. Facebook, Instagram, Twitter, LinkedIn etc.) betrouwbaar is",1
1698511,19,de informatie in reclame die u ziet tijdens het bekijken van een online video/video-clip (bijvoorbeeld op YouTube) betrouwbaar is,1
1698512,19,de informatie in reclame wanneer u een film bekijkt in een bioscoop betrouwbaar is,1
1698513,19,Ik gebruik geen tabaksproducten,1
1698514,19,Sigaren,1
1698515,19,Pijp,1
1698516,19,Cigarillo's,1
1698517,19,Snus,1
1698518,19,Kauwtabak,1
1698519,19,E-sigaretten / verdamper,1
1698520,19,Shag (roltabak),1
1698521,19,Sigaretten,1
1698522,19,Andere niet voor roken bestemde tabaksproducten,1
1698523,19,Geen van de bovenstaande,1
1698692,57,GUID,1
1698693,57,Weight,1
1698694,57,Secondary weigh,1
1698695,57,Mobile,1
1698696,57,Tablet,1
1698697,57,Panelist ID,1
1698698,57,Panel Names,1
1698699,57,Postal code,1
1698700,57,Age group,1
1698701,57,Age groups,1
1698702,57,Age group,1
1698703,57,Age group,1
1698704,57,Age group,1
1698705,57,Year of birth,1
1698706,57,Gender,1
1698707,57,Qual é o seu sexo?,1
1698708,57,Qual é a sua idade?,1
1698709,57,Qual é a região onde reside atualmente?,1
1698710,57,Qual é o seu rendimento familiar atual?,1
1698711,57,Qual é o seu nível de escolaridade?,1
1698712,57,QUALITY_SO_2,1
1698713,57,Qual das seguintes redes sociais você usa regularmente?,1
1698714,57,SO Control,1
1698715,57,Em que país você vive?,1
1698716,57,Qual das seguintes ações você realizou durante as últimas quatro semanas?,1
1698717,57,"Este estudo está a ser levado a cabo para ajudar a compreender como é que as pessoas encaram o conteúdo, bem como a publicidade, em diferentes meios impressos, audiovisuais e online.",1
1698718,57,"A série de perguntas seguinte pede que você classifique os anúncios incluídos em sete meios de comunicação social (por ex., televisão, rede Web, jornais) com base em diferentes critérios. Não há respostas certas ou erradas, estamos interessados apenas em obter uma opinião honesta da sua parte",1
1698719,57,"De modo geral, até que ponto você concorda ou discorda que",1
1698720,57,"De modo geral, até que ponto você concorda ou discorda que",1
1698721,57,"Até que ponto você concorda ou discorda que quanto mais você confia no contexto no âmbito do qual um anúncio é apresentado, maior é a probabilidade de você comprar o produto/serviço que está a ser publicitado?",1
1698722,57,Até que ponto você confia que um Website de um jornal está a proteger os dados que você concorda em partilhar?,1
1698723,57,"Ultimamente tem havido muitos debates sobre as chamadas “notícias falsas”, nas quais o conteúdo foi publicado com um propósito político específico e de matéria questionável. Você diria que as notícias publicadas nos meios de comunicação no seu país são, de forma geral, imparciais e confiáveis?",1
1698724,57,"Finalmente, gostaríamos de perceber como é que você classificaria a credibilidade geral de algumas marcas específicas nos meios de comunicação.",1
1698725,57,Com qual das seguintes marcas você está familiarizado?,1
1698726,57,"Quão confiáveis você diria que são, de modo geral, os conteúdos e publicidade apresentados nos seguintes meios de comunicação social?",1
1698727,57,Estamos a empreender um projeto sobre atitudes em relação ao tabagismo e gostaríamos de fazer também algumas perguntas sobre o consumo de tabaco e o tabaco sem combustão.,1
1698728,57,Hoje em dia você consome regularmente algum tipo de produtos de tabaco/para fumar?,1
1698729,57,Você acha que está certo que os governos proíbam o consumo de cigarros e outros produtos para fumar em locais públicos?,1
1698730,57,Você acha que os novos produtos de tabaco/para fumar que estão a ser lançados e promovidos como sendo menos perigosos são uma boa solução para reduzir os problemas de saúde causados pelo fumo?,1
1698731,57,Filter for T8,1
1698732,57,Bebo,1
1698733,57,Facebook,1
1698734,57,FitFinder,1
1698735,57,Flickr,1
1698736,57,Foursquare,1
1698737,57,Google+,1
1698738,57,Instagram,1
1698739,57,LinkedIn,1
1698740,57,Myspace,1
1698741,57,PlanetAll,1
1698742,57,Twitter,1
1698743,57,Yahoo! Mash,1
1698744,57,YouTube,1
1698745,57,Snapchat,1
1698746,57,Outra,1
1698747,57,Eu não utilizo regularmente qualquer rede social,1
1698748,57,Prefere não responder,1
1698749,57,Leu um jornal impresso (versão em papel),1
1698750,57,Visitou um Website/App de um jornal (versão online),1
1698751,57,Leu ou visitou um jornal local/regional (versão em papel ou online),1
1698752,57,"Visitou uma página online ou App de um serviço exclusivo de notícias? (por ex., o Buzzfeed, o Huffington Post, etc.)",1
1698753,57,Viu um canal de notícias na televisão ou através do respetivo Website/App,1
1698754,57,Viu um canal de televisão comercial ou um canal de televisão por assinatura,1
1698755,57,Ouviu uma estação de rádio comercial,1
1698756,57,"Ouviu música em streaming (Spotify, Pandora, Deezer ou similar)",1
1698757,57,Leu uma revista impressa (versão em papel),1
1698758,57,Leu um blogue,1
1698759,57,Consultou um Website ou App qualquer sem ser um Website ou App exclusivo de notícias,1
1698760,57,"Utilizou um motor de busca (por ex., Google, Yahoo)",1
1698761,57,"Utilizou um Website de uma rede social (por ex., Facebook, Instagram, Twitter, LinkedIn etc.)",1
1698762,57,"Viu um anúncio publicitário de exterior (por ex., anúncio em cartaz, em ecrã ou em paragens de autocarro)",1
1698763,57,"Recomendou um produto ou serviço a um amigo, membro de família ou colega",1
1698764,57,Viu um vídeo publicitário durante a visualização de um vídeo ou videoclip online,1
1698765,57,Viu um filme numa sala de cinema,1
1698766,57,"Falou com um amigo, membro de família ou colega, sobre um anúncio publicitário que você viu",1
1698767,57,Nenhuma das anteriores,1
1698768,57,o conteúdo num jornal impresso (versão em papel) é confiável,1
1698769,57,o conteúdo num Website/App de um jornal (versão online) é confiável,1
1698770,57,o conteúdo num canal de televisão comercial ou num canal de televisão por assinatura é confiável,1
1698771,57,o conteúdo numa estação de rádio comercial é confiável,1
1698772,57,o conteúdo numa revista impressa é confiável,1
1698773,57,o conteúdo num jornal local impresso ou em versão online é confiável,1
1698774,57,o conteúdo numa página de motor de busca é confiável,1
1698775,57,"o conteúdo num Website de uma rede social (por ex., Facebook, Instagram, Twitter, LinkedIn etc.) é confiável",1
1698776,57,"o conteúdo visualizado num vídeo online ou videoclip (por ex., YouTube) é confiável",1
1698777,57,"o conteúdo visualizado/ouvido num serviço de radio de difusão contínua (por ex., Spotify) é confiável",1
1698778,57,"o conteúdo visualizado num canal de notícias da TV (por ex., na BBC, CNN, NHK) é confiável",1
1698779,57,o conteúdo visualizado num serviço exclusivo de notícias online ou numa App é confiável,1
1698780,57,a informação fornecida na publicidade de um jornal impresso é confiável,1
1698781,57,a informação fornecida na publicidade de um Website/App de um jornal (versão online) é confiável,1
1698782,57,a informação fornecida na publicidade de um canal de televisão comercial ou de um canal de televisão por assinatura é confiável,1
1698783,57,a informação fornecida na publicidade de uma estação de rádio comercial é confiável,1
1698784,57,a informação fornecida na publicidade de uma revista impressa é confiável,1
1698785,57,a informação fornecida na publicidade de um jornal local impresso ou em versão online é confiável,1
1698786,57,a informação fornecida na publicidade de um motor de busca é confiável,1
1698787,57,"a informação fornecida na publicidade de um Website de uma rede social (por ex., Facebook, Instagram, Twitter, LinkedIn etc.) é confiável",1
1698788,57,"a informação fornecida na publicidade visualizada durante a transmissão de um vídeo online ou videoclip (por ex., no YouTube) é confiável",1
1698789,57,a informação fornecida na publicidade visualizada enquanto está a ver um filme numa sala de cinema é confiável,1
1698790,57,Não utilizo qualquer produto do tabaco,1
1698791,57,Charutos,1
1698792,57,Cachimbo,1
1698793,57,Cigarrilhas,1
1698794,57,"""Snus""",1
1698795,57,Tabaco de mascar,1
1698796,57,Cigarros eletrónicos,1
1698797,57,Tabaco de enrolar,1
1698798,57,Cigarros,1
1698799,57,Outros produtos do tabaco,1
1698800,57,Nenhum dos anteriores,1
1698969,66,GUID,1
1698970,66,Weight,1
1698971,66,Secondary weigh,1
1698972,66,Mobile,1
1698973,66,Tablet,1
1698974,66,Panelist ID,1
1698975,66,Panel Names,1
1698976,66,Postal code,1
1698977,66,Age group,1
1698978,66,Age groups,1
1698979,66,Age group,1
1698980,66,Age group,1
1698981,66,Age group,1
1698982,66,Year of birth,1
1698983,66,Gender,1
1698984,66,¿Cuál es su género?,1
1698985,66,¿Qué edad tiene?,1
1698986,66,¿En qué región vive usted en la actualidad?,1
1698987,66,¿Cuál es su nivel de educación?,1
1698988,66,¿Cuál es el ingreso actual de su hogar?,1
1698989,66,QUALITY_SO_2,1
1698990,66,¿Cual de las siguientes redes sociales usa con regularidad?,1
1698991,66,SO Control,1
1698992,66,¿En qué país vives?,1
1698993,66,¿Cuál de las siguientes acciones ha realizado durante las últimas 4 semanas?,1
1698994,66,"Esta investigación se está llevando a cabo para ayudar a comprender cómo las personas perciben el contenido y la publicidad en diferentes medios impresos, audiovisuales y en línea.",1
1698995,66,"La siguiente serie de preguntas le solicita que califique los anuncios incluidos en 7 medios (p. Ej., Televisión, radio, en línea, periódicos) según diferentes criterios. No hay respuestas correctas o incorrectas, solo nos interesan sus opiniones honestas",1
1698996,66,"En general, ¿en qué medida está de acuerdo o en desacuerdo con que…",1
1698997,66,"En general, ¿en qué medida está de acuerdo o en desacuerdo con que….",1
1698998,66,"¿En qué medida está de acuerdo o en desacuerdo con que cuanto más confíe en el contexto en el que se le presenta un anuncio, es más probable que compre el producto / servicio que se anuncia?",1
1698999,66,¿En qué medida confía en que un sitio web basado en un periódico protege los datos que acepta compartir?,1
1699000,66,"Últimamente ha habido muchas discusiones sobre las llamadas ""noticias falsas"" en las que el contenido se ha publicado con un propósito político específico y una sustancia cuestionable. ¿Diría que las noticias publicadas en los medios de comunicación en su país en general son imparciales y confiables?",1
1699001,66,"Finalmente, nos gustaría entender cómo calificaría la fiabilidad total de algunas marcas específicas en los medios.",1
1699002,66,¿Con cuál de las siguientes marcas está familiarizado?,1
1699003,66,¿Qué tan confiable diría usted en general que percibe el contenido y la publicidad presentados en los siguientes medios?,1
1699004,66,Estamos haciendo un proyecto sobre las actitudes hacia el hábito de fumar y también nos gustaría hacerle un par de preguntas sobre fumar y el tabaco sin humo.,1
1699005,66,¿Usas regularmente alguna forma de tabaco / productos para fumar hoy?,1
1699006,66,¿Crees que es correcto que los gobiernos prohíban el uso de cigarrillos y otros productos para fumar en lugares públicos?,1
1699007,66,¿Cree que los nuevos productos de tabaco / tabaco que se lanzan y promocionan como menos peligrosos son una buena solución para reducir los problemas de salud derivados del hábito de fumar?,1
1699008,66,Filter for T8,1
1699009,66,Bebo,1
1699010,66,Facebook,1
1699011,66,FitFinder,1
1699012,66,Flickr,1
1699013,66,Foursquare,1
1699014,66,Google+,1
1699015,66,Instagram,1
1699016,66,LinkedIn,1
1699017,66,Myspace,1
1699018,66,PlanetAll,1
1699019,66,Twitter,1
1699020,66,Yahoo! Mash,1
1699021,66,YouTube,1
1699022,66,Snapchat,1
1699023,66,Otro,1
1699024,66,No uso con regularidad ninguna red social,1
1699025,66,Prefiero no responder,1
1699026,66,Leer un periódico impreso (versión en papel),1
1699027,66,Visitó un sitio web basado en un periódico / aplicación (versión en línea),1
1699028,66,Leer o visitar un periódico local / regional (versión en papel o en línea),1
1699029,66,"Visitó un servicio de noticias en línea o solo de aplicaciones (por ejemplo, en Buzzfeed, Huffington post, etc.)",1
1699030,66,Miró un canal de noticias en la televisión oa través de su sitio web / aplicación,1
1699031,66,Miré un canal de televisión comercial o televisión de pago.,1
1699032,66,Escuché una estación de radio comercial,1
1699033,66,"Listado en la música transmitida (Spotify, Pandora, Deezer o simillar)",1
1699034,66,Leer una revista impresa (versión en papel),1
1699035,66,Leer un blog,1
1699036,66,Navegó por cualquier sitio web o aplicación / aplicaciones basados ​​en noticias,1
1699037,66,"Utilizo un motor de búsqueda (por ejemplo, Google, Yahoo)",1
1699038,66,"Utilizo un sitio de redes sociales (por ejemplo, Facebook, Instagram, Twitter, LinkedIn, etc.)",1
1699039,66,"Vio un anuncio al aire libre (por ejemplo, un anuncio de cartelera, pantalla o parada de autobús)",1
1699040,66,"Recomendó un producto o servicio a un amigo, familiar o colega",1
1699041,66,Ha visto un anuncio de video mientras ve un video / video en línea,1
1699042,66,Miro una película en un cine,1
1699043,66,"Habló sobre un anuncio que ha visto con un amigo, familiar o colega",1
1699044,66,Ninguna de las anteriores,1
1699045,66,el contenido de un periódico impreso (versión en papel) es confiable?,1
1699046,66,el contenido de un sitio web / aplicación (versión en línea) basada en el periódico es confiable?,1
1699047,66,el contenido de un canal de televisión comercial o televisión de pago es confiable?,1
1699048,66,el contenido de una estación de radio comercial es confiable?,1
1699049,66,el contenido de una revista impresa es confiable?,1
1699050,66,el contenido de un periódico local impreso o en línea sea confiable?,1
1699051,66,el contenido de una página del motor de búsqueda es confiable?,1
1699052,66,"el contenido de un sitio de redes sociales (por ejemplo, Facebook, Instagram, Twitter, LinkedIn, etc.) es confiable?",1
1699053,66,"el contenido que ve en un video / video en línea (por ejemplo, en YouTube) es confiable?",1
1699054,66,"el contenido que ve / escucha en un servicio de radio transmitido (por ejemplo, en Spotify) es confiable?",1
1699055,66,"el contenido que ve en un canal de noticias de televisión (por ejemplo, en BBC, CNN, NHK) es confiable?",1
1699056,66,"el contenido que ve en un servicio de noticias de la aplicación de o en línea (por ejemplo, en Buzzfeed, Huffington post, etc.) es confiable?",1
1699057,66,la información proporcionada en la publicidad en un periódico impreso es confiable?,1
1699058,66,la información proporcionada en la publicidad en un sitio web / aplicación en línea de un periódico sea confiable?,1
1699059,66,la información proporcionada en la publicidad en un canal de televisión comercial o televisión de pago es confiable?,1
1699060,66,la información proporcionada en la publicidad en una estación de radio comercial es confiable?,1
1699061,66,la información proporcionada en la publicidad en una revista impresa es confiable?,1
1699062,66,la información proporcionada en la publicidad en un periódico local o en línea sea confiable?,1
1699063,66,la información proporcionada en la publicidad en el motor de búsqueda es confiable?,1
1699064,66,"la información proporcionada en la publicidad en un sitio de redes sociales (por ejemplo, Facebook, Instagram, Twitter, LinkedIn, etc.) sea confiable?",1
1699065,66,"la información proporcionada en la publicidad que ve mientras ve un video / videoclip en línea (por ejemplo, en YouTube) es confiable?",1
1699066,66,la información proporcionada en la publicidad que ve mientras ve una película en un cine es confiable?,1
1699067,66,No uso productos de tabaco.,1
1699068,66,Cigarros,1
1699069,66,Pipa,1
1699070,66,Cigarrillos,1
1699071,66,Snus,1
1699072,66,Tabaco Masticable,1
1699073,66,Cigarros electronicos / Vaporizador,1
1699074,66,Roll tu propio tabaco,1
1699075,66,Cigarrillos,1
1699076,66,Otro tabaco sin humo,1
1699077,66,Ninguna de las anteriores,1
1699237,66,GUID,1
1699238,66,Weight,1
1699239,66,Secondary weigh,1
1699240,66,Mobile,1
1699241,66,Tablet,1
1699242,66,Panelist ID,1
1699243,66,Panel Names,1
1699244,66,Postal code,1
1699245,66,Age group,1
1699246,66,Age groups,1
1699247,66,Age group,1
1699248,66,Age group,1
1699249,66,Age group,1
1699250,66,Year of birth,1
1699251,66,Gender,1
1699252,66,¿Cuál es su género?,1
1699253,66,¿Qué edad tiene?,1
1699254,66,¿En qué región vive usted en la actualidad?,1
1699255,66,¿Cuál es su nivel de educación?,1
1699256,66,¿Cuál es el ingreso actual de su hogar?,1
1699257,66,QUALITY_SO_2,1
1699258,66,¿Cual de las siguientes redes sociales usa con regularidad?,1
1699259,66,SO Control,1
1699260,66,¿En qué país vives?,1
1699261,66,¿Cuál de las siguientes acciones ha realizado durante las últimas 4 semanas?,1
1699262,66,"Esta investigación se está llevando a cabo para ayudar a comprender cómo las personas perciben el contenido y la publicidad en diferentes medios impresos, audiovisuales y en línea.",1
1699263,66,"La siguiente serie de preguntas le solicita que califique los anuncios incluidos en 7 medios (p. Ej., Televisión, radio, en línea, periódicos) según diferentes criterios. No hay respuestas correctas o incorrectas, solo nos interesan sus opiniones honestas",1
1699264,66,"En general, ¿en qué medida está de acuerdo o en desacuerdo con que…",1
1699265,66,"En general, ¿en qué medida está de acuerdo o en desacuerdo con que….",1
1699266,66,"¿En qué medida está de acuerdo o en desacuerdo con que cuanto más confíe en el contexto en el que se le presenta un anuncio, es más probable que compre el producto / servicio que se anuncia?",1
1699267,66,¿En qué medida confía en que un sitio web basado en un periódico protege los datos que acepta compartir?,1
1699268,66,"Últimamente ha habido muchas discusiones sobre las llamadas ""noticias falsas"" en las que el contenido se ha publicado con un propósito político específico y una sustancia cuestionable. ¿Diría que las noticias publicadas en los medios de comunicación en su país en general son imparciales y confiables?",1
1699269,66,"Finalmente, nos gustaría entender cómo calificaría la fiabilidad total de algunas marcas específicas en los medios.",1
1699270,66,¿Con cuál de las siguientes marcas está familiarizado?,1
1699271,66,¿Qué tan confiable diría usted en general que percibe el contenido y la publicidad presentados en los siguientes medios?,1
1699272,66,Estamos haciendo un proyecto sobre las actitudes hacia el hábito de fumar y también nos gustaría hacerle un par de preguntas sobre fumar y el tabaco sin humo.,1
1699273,66,¿Usas regularmente alguna forma de tabaco / productos para fumar hoy?,1
1699274,66,¿Crees que es correcto que los gobiernos prohíban el uso de cigarrillos y otros productos para fumar en lugares públicos?,1
1699275,66,¿Cree que los nuevos productos de tabaco / tabaco que se lanzan y promocionan como menos peligrosos son una buena solución para reducir los problemas de salud derivados del hábito de fumar?,1
1699276,66,Filter for T8,1
1699277,66,Bebo,1
1699278,66,Facebook,1
1699279,66,FitFinder,1
1699280,66,Flickr,1
1699281,66,Foursquare,1
1699282,66,Google+,1
1699283,66,Instagram,1
1699284,66,LinkedIn,1
1699285,66,Myspace,1
1699286,66,PlanetAll,1
1699287,66,Twitter,1
1699288,66,Yahoo! Mash,1
1699289,66,YouTube,1
1699290,66,Snapchat,1
1699291,66,Otro,1
1699292,66,No uso con regularidad ninguna red social,1
1699293,66,Prefiero no responder,1
1699294,66,Leer un periódico impreso (versión en papel),1
1699295,66,Visitó un sitio web basado en un periódico / aplicación (versión en línea),1
1699296,66,Leer o visitar un periódico local / regional (versión en papel o en línea),1
1699297,66,"Visitó un servicio de noticias en línea o solo de aplicaciones (por ejemplo, en Buzzfeed, Huffington post, etc.)",1
1699298,66,Miró un canal de noticias en la televisión oa través de su sitio web / aplicación,1
1699299,66,Miré un canal de televisión comercial o televisión de pago.,1
1699300,66,Escuché una estación de radio comercial,1
1699301,66,"Listado en la música transmitida (Spotify, Pandora, Deezer o simillar)",1
1699302,66,Leer una revista impresa (versión en papel),1
1699303,66,Leer un blog,1
1699304,66,Navegó por cualquier sitio web o aplicación / aplicaciones basados ​​en noticias,1
1699305,66,"Utilizo un motor de búsqueda (por ejemplo, Google, Yahoo)",1
1699306,66,"Utilizo un sitio de redes sociales (por ejemplo, Facebook, Instagram, Twitter, LinkedIn, etc.)",1
1699307,66,"Vio un anuncio al aire libre (por ejemplo, un anuncio de cartelera, pantalla o parada de autobús)",1
1699308,66,"Recomendó un producto o servicio a un amigo, familiar o colega",1
1699309,66,Ha visto un anuncio de video mientras ve un video / video en línea,1
1699310,66,Miro una película en un cine,1
1699311,66,"Habló sobre un anuncio que ha visto con un amigo, familiar o colega",1
1699312,66,Ninguna de las anteriores,1
1699313,66,el contenido de un periódico impreso (versión en papel) es confiable?,1
1699314,66,el contenido de un sitio web / aplicación (versión en línea) basada en el periódico es confiable?,1
1699315,66,el contenido de un canal de televisión comercial o televisión de pago es confiable?,1
1699316,66,el contenido de una estación de radio comercial es confiable?,1
1699317,66,el contenido de una revista impresa es confiable?,1
1699318,66,el contenido de un periódico local impreso o en línea sea confiable?,1
1699319,66,el contenido de una página del motor de búsqueda es confiable?,1
1699320,66,"el contenido de un sitio de redes sociales (por ejemplo, Facebook, Instagram, Twitter, LinkedIn, etc.) es confiable?",1
1699321,66,"el contenido que ve en un video / video en línea (por ejemplo, en YouTube) es confiable?",1
1699322,66,"el contenido que ve / escucha en un servicio de radio transmitido (por ejemplo, en Spotify) es confiable?",1
1699323,66,"el contenido que ve en un canal de noticias de televisión (por ejemplo, en BBC, CNN, NHK) es confiable?",1
1699324,66,"el contenido que ve en un servicio de noticias de la aplicación de o en línea (por ejemplo, en Buzzfeed, Huffington post, etc.) es confiable?",1
1699325,66,la información proporcionada en la publicidad en un periódico impreso es confiable?,1
1699326,66,la información proporcionada en la publicidad en un sitio web / aplicación en línea de un periódico sea confiable?,1
1699327,66,la información proporcionada en la publicidad en un canal de televisión comercial o televisión de pago es confiable?,1
1699328,66,la información proporcionada en la publicidad en una estación de radio comercial es confiable?,1
1699329,66,la información proporcionada en la publicidad en una revista impresa es confiable?,1
1699330,66,la información proporcionada en la publicidad en un periódico local o en línea sea confiable?,1
1699331,66,la información proporcionada en la publicidad en el motor de búsqueda es confiable?,1
1699332,66,"la información proporcionada en la publicidad en un sitio de redes sociales (por ejemplo, Facebook, Instagram, Twitter, LinkedIn, etc.) sea confiable?",1
1699333,66,"la información proporcionada en la publicidad que ve mientras ve un video / videoclip en línea (por ejemplo, en YouTube) es confiable?",1
1699334,66,la información proporcionada en la publicidad que ve mientras ve una película en un cine es confiable?,1
1699335,66,No uso productos de tabaco.,1
1699336,66,Cigarros,1
1699337,66,Pipa,1
1699338,66,Cigarrillos,1
1699339,66,Snus,1
1699340,66,Tabaco Masticable,1
1699341,66,Cigarros electronicos / Vaporizador,1
1699342,66,Roll tu propio tabaco,1
1699343,66,Cigarrillos,1
1699344,66,Otro tabaco sin humo,1
1699345,66,Ninguna de las anteriores,1
1700400,66,GUID,1
1700401,66,Weight,1
1700402,66,Secondary weigh,1
1700403,66,Mobile,1
1700404,66,Tablet,1
1700405,66,Panelist ID,1
1700406,66,Panel Names,1
1700407,66,Postal code,1
1700408,66,Age group,1
1700409,66,Age groups,1
1700410,66,Age group,1
1700411,66,Age group,1
1700412,66,Age group,1
1700413,66,Year of birth,1
1700414,66,Gender,1
1700415,66,¿Cuál es su género?,1
1700416,66,¿Qué edad tiene?,1
1700417,66,¿En qué región vive usted en la actualidad?,1
