response_id,tool_response_id,survey_id,ip_address,completed,started_at,last_action_at,completed_at,last_page,language_id,panelist_id,respondent_guid,weight,secondary_weight,device,panel,postal_code,year_of_birth,gender
8007,34,46698,74.89.133.189,1,05:21.0,17:05.0,17:05.0,44,21,110813894,3974f754-2570-e877-867f-c05f166c3a8d,1,1,Desktop,,10549,1952,Female
8008,35,46698,198.211.173.98,1,05:22.0,16:46.0,16:46.0,44,21,484730184,4fe2f4ca-7cf1-eb0f-10e1-c3c906e8d209,1,1,Mobile,,29466,1974,Male
8009,36,46698,73.244.160.61,1,05:22.0,15:57.0,15:57.0,44,21,186411049,52db43de-0d41-5c03-29f5-74f07352130a,1,1,Tablet,,33411,1948,Male
8010,37,46698,75.104.48.29,1,05:23.0,18:03.0,18:03.0,44,21,289387750,9c15d0cd-2f07-c9ba-e7e6-e73eaf1dfe03,1,1,Mobile,,97423,1957,Male
8011,38,46698,50.24.13.249,1,05:23.0,17:54.0,17:54.0,44,21,110897038,04457610-1337-6a82-b73b-416e1a280dc9,1,1,Tablet,,75568,1956,Male
8012,39,46698,104.50.116.145,1,05:25.0,19:04.0,19:04.0,44,21,601008036,9887a63c-0e62-b834-7517-91ac1c7881c0,1,1,Desktop,,60565,1966,Female
8013,40,46698,108.54.212.101,1,05:25.0,20:18.0,20:18.0,44,21,113927141,8c0fd1d1-8fd6-cfa3-fdfa-e624b0cb1108,1,1,Desktop,,10562,1949,Female
8014,41,46698,142.197.109.123,1,05:26.0,19:08.0,19:08.0,44,21,34557191,d11edf00-dbf2-c0d0-ec2b-e83583ebc5dd,1,1,Desktop,,32707,1946,Female
8015,42,46698,165.6.71.71,1,05:27.0,15:59.0,15:59.0,44,21,110765746,28d95d3b-891e-42de-2b10-6af20d0297e2,1,1,Mobile,,37886,1957,Female
8016,43,46698,173.59.114.222,1,05:27.0,21:15.0,21:15.0,44,21,41291415,6eafadd1-c3c1-b2cf-5dfa-9a84c2da0d0c,1,1,Desktop,,19152,1949,Female
8017,44,46698,104.36.120.35,1,05:32.0,13:11.0,13:11.0,44,21,85542373,8d95bd86-469f-a09e-67ad-8abee781585c,1,1,Mobile,,76501,1964,Female
8018,45,46698,24.186.237.112,1,05:35.0,13:09.0,13:09.0,44,21,57785790,a8071b52-6fc7-04e2-f579-2c2c68dfa28e,1,1,Desktop,,7843,1957,Female
8019,46,46698,68.172.167.33,0,05:36.0,07:20.0,,13,21,110716087,c504cab9-57cd-d37a-f692-fd2f8ad74960,1,1,Desktop,,14616,1954,Male
8020,47,46698,66.25.82.219,1,05:36.0,11:20.0,11:20.0,44,21,298064159,709033a5-2e4c-2e99-628e-04bb3e53806b,1,1,Mobile,,78227,1969,Female
8021,48,46698,65.254.156.242,1,05:38.0,23:19.0,23:19.0,44,21,110460510,a606e106-49fb-fcc8-f42d-d62ddce647df,1,1,Desktop,,43526,1959,Female
8022,49,46698,107.77.206.37,1,05:40.0,13:06.0,13:06.0,44,21,139374411,68e867d9-edb0-8435-1af2-50c316b1720e,1,1,Mobile,,56320,1980,Male
8023,50,46698,73.120.87.234,1,05:42.0,15:18.0,15:18.0,44,21,110242076,04d213b0-9a5e-f010-209b-24f928439469,1,1,Desktop,,37918,1948,Male
8024,51,46698,174.218.140.216,1,05:45.0,18:18.0,18:18.0,44,21,193508206,37a1b15c-e263-52ad-5377-868ab67bfd88,1,1,Mobile,,32754,1972,Female
8025,52,46698,47.142.18.253,1,05:49.0,17:39.0,17:39.0,44,21,110460846,810ceb2d-43f7-f557-fe06-dc2707ed4df4,1,1,Desktop,,92284,1952,Female
8026,53,46698,108.222.84.152,1,05:52.0,18:47.0,18:47.0,44,21,34556853,14a99700-6cbd-74e9-5b2b-a08231a572dd,1,1,Desktop,,73072,1949,Male
8027,54,46698,47.201.26.98,0,05:55.0,24:44.0,,36,21,485436740,7bca6f73-2f27-8ccf-3858-58e1b33bf1b0,1,1,Desktop,,34287,1959,Male
8028,55,46698,76.24.42.57,1,05:55.0,14:57.0,14:57.0,44,21,131739522,6a7d8de3-edc6-92e0-8fc8-ba56e5db733b,1,1,Desktop,,1082,1957,Male
8029,56,46698,205.182.133.63,1,05:55.0,35:31.0,35:31.0,44,21,38691755,366d6ff7-696b-726b-9fdc-5846d875f72a,1,1,Desktop,,15748,1954,Female
8030,57,46698,73.73.15.13,1,05:59.0,13:29.0,13:29.0,44,21,158515485,f2fa1fdc-93bb-ffd7-08f7-28d145a75c0a,1,1,Mobile,,60007,1993,Female
8031,58,46698,98.21.98.216,1,05:59.0,17:58.0,17:58.0,44,21,48495263,e68d236f-13b2-3d0f-7f44-14a674a0bab2,1,1,Desktop,,30345,1973,Male
8032,59,46698,97.70.162.166,1,05:59.0,15:48.0,15:48.0,44,21,38420457,84e6f2be-e6d7-1275-1495-c5cdd3b47863,1,1,Tablet,,48374,1950,Female
8033,60,46698,47.205.156.86,1,05:59.0,15:23.0,15:23.0,44,21,85335880,5aeea3a9-22e5-439a-1c82-94c565c52c73,1,1,Desktop,,34201,1945,Female
8034,61,46698,24.167.25.152,1,06:00.0,24:48.0,24:48.0,44,21,217904305,c563d4d4-9445-373e-91ff-e348e1594b07,1,1,Mobile,,77857,1995,Male
8035,62,46698,108.220.159.251,1,06:01.0,14:54.0,14:54.0,44,21,110721142,66ff1946-ac05-f9f0-0d6d-2ed4b418b29f,1,1,Desktop,,46714,1958,Male
8036,63,46698,107.77.198.190,1,06:04.0,15:37.0,15:37.0,44,21,172296154,466fcd3d-50a0-2d28-9d16-fa4463b3fee8,1,1,Mobile,,75409,1977,Female
8037,64,46698,50.45.4.125,1,06:04.0,26:44.0,26:44.0,44,21,385645718,9c33e308-c5fa-0302-c123-d4181ae61bc1,1,1,Desktop,,62450,1961,Female
8038,65,46698,50.5.130.63,1,06:04.0,21:03.0,21:03.0,44,21,88797746,c6145ab2-15d3-44fc-e699-6d3f04d18a68,1,1,Mobile,,45140,1961,Female
8039,66,46698,99.203.101.233,1,06:05.0,20:57.0,20:57.0,44,21,364366461,a5919e99-2335-7d20-63b2-a9ba602df253,1,1,Mobile,,34773,1972,Male
8040,67,46698,98.193.225.59,0,06:05.0,08:08.0,,15,21,555012115,c9ec6ef1-23db-8ed2-1eda-59c766c72c0f,1,1,Desktop,,37138,1990,Female
8041,68,46698,143.244.71.80,1,06:08.0,33:01.0,33:01.0,44,21,110709204,8b5df140-0ed1-eeaf-af6b-c67610c11099,1,1,Desktop,,72365,1968,Female
8042,69,46698,174.195.13.189,0,06:08.0,06:35.0,,7,21,56709685,1ab3abc5-a898-4bd9-41ee-9c9874800619,1,1,Mobile,,37317,1942,Male
8043,70,46698,73.77.83.43,0,06:08.0,06:45.0,,3,21,398810872,af07ca31-b8cc-2aaf-f51a-fd2c4ded16f9,1,1,Desktop,,77379,1982,Male
8044,71,46698,108.44.117.11,1,06:08.0,20:22.0,20:22.0,44,21,248900491,2b52efbc-de6e-f6ae-a097-d879b37d536d,1,1,Tablet,,24293,1958,Female
8045,72,46698,98.144.238.87,1,06:13.0,20:48.0,20:48.0,44,21,110454595,2ca3d966-ecd7-3a9b-514d-ee88a1c7e2bf,1,1,Desktop,,53110,1946,Female
8046,73,46698,152.16.191.122,1,06:14.0,22:25.0,22:25.0,44,21,126305327,512bfe67-56de-1f6a-d94c-c900ccc378bf,1,1,Desktop,,27537,1963,Female
8047,74,46698,174.192.149.234,1,06:14.0,23:28.0,23:28.0,44,21,286896708,d55b3097-8be3-d311-a9bc-077057fb9659,1,1,Desktop,,49801,1958,Female
8048,75,46698,24.255.209.29,1,06:15.0,18:36.0,18:36.0,44,21,255863210,b06e5822-5413-b94e-9c09-6f450c08faf2,1,1,Desktop,,66517,1960,Female
8049,76,46698,99.203.101.251,1,06:16.0,21:12.0,21:12.0,44,21,110496238,e4dc319d-905f-2c9a-2eb6-06f7f7419e44,1,1,Mobile,,34606,1959,Female
8050,77,46698,162.236.23.89,1,06:22.0,15:13.0,15:13.0,44,21,113124893,523eae4f-8ae1-4e35-cc64-9915d6f15496,1,1,Desktop,,37215,1969,Female
8051,78,46698,99.120.18.137,1,06:23.0,19:21.0,19:21.0,44,21,110863107,bdaa0788-fcc5-e7b0-58a3-30810fdde551,1,1,Mobile,,33172,1967,Female
8052,79,46698,24.211.209.206,1,06:24.0,28:02.0,28:02.0,44,21,93506054,ee2540cd-6cea-a1ec-d7e6-770e4ff36317,1,1,Desktop,,27549,1951,Male
8053,80,46698,107.77.195.27,1,06:25.0,16:58.0,16:58.0,44,21,110461857,716f8dda-236c-6ca6-9df1-ba44ff772e03,1,1,Desktop,,48838,1954,Female
8054,81,46698,76.9.67.126,1,06:26.0,18:59.0,18:59.0,44,21,110715783,662168d8-7269-89f5-d3f3-5f0adb726c01,1,1,Desktop,,93644,1947,Female
8055,82,46698,66.66.211.60,1,06:27.0,19:40.0,19:40.0,44,21,47241608,67d3eb2e-5858-f317-2105-dcf8224bd7f3,1,1,Desktop,,4943,1952,Female
8056,83,46698,72.76.117.97,1,06:28.0,17:36.0,17:36.0,44,21,76728799,9109eda8-4044-0b78-fb83-da22f35d4f73,1,1,Desktop,,7202,1956,Male
8057,84,46698,67.141.168.167,1,06:29.0,20:27.0,20:27.0,44,21,110447727,433417c0-7b3e-f7da-c6eb-201f2b227519,1,1,Desktop,,30528,1946,Female
8058,85,46698,67.184.106.226,1,06:29.0,17:55.0,17:55.0,44,21,110500547,e2595e41-152c-4727-ab6a-6972063d1b98,1,1,Desktop,,60002,1951,Male
8059,86,46698,98.186.165.132,1,06:31.0,17:28.0,17:28.0,44,21,35227896,f85c9b8b-8c71-7d88-aea0-ac77f76a9156,1,1,Mobile,,67220,1955,Female
8060,87,46698,24.208.250.94,1,06:33.0,30:10.0,30:10.0,44,21,72804896,1d78ae4e-7527-4ff5-8a65-9953ea3dfa95,1,1,Mobile,,44485,1996,Male
8061,88,46698,71.14.51.2,1,06:35.0,20:33.0,20:33.0,44,21,85331605,7d5b15c3-977a-0de0-a9e8-2270d2629919,1,1,Desktop,,35023,1945,Male
8062,89,46698,71.209.165.32,1,06:35.0,33:36.0,33:36.0,44,21,110778961,4b67256d-371c-c332-9546-124cb80629b4,1,1,Desktop,,85032,1961,Male
8063,90,46698,73.197.12.97,1,06:38.0,18:24.0,18:24.0,44,21,218117550,c7b67f27-4c21-9e99-440c-489d0d3362f5,1,1,Desktop,,8108,1957,Male
8064,91,46698,74.69.26.234,1,06:39.0,19:58.0,19:58.0,44,21,567859287,60c41cce-57a7-fa03-36e5-2bef1dbdc830,1,1,Desktop,,12065,1954,Female
8065,92,46698,75.163.232.210,1,06:44.0,17:29.0,17:29.0,44,21,110486190,81178fe2-5b0e-6edb-e5c9-b83cc814563b,1,1,Tablet,,80006,1956,Male
8066,93,46698,99.51.168.165,1,06:44.0,26:01.0,26:01.0,44,21,233583026,14e629fa-0078-cf4a-14d1-1ecdcc61de28,1,1,Mobile,,70065,1991,Female
8067,94,46698,73.76.156.206,1,06:45.0,15:49.0,15:49.0,44,21,163794567,1ead5820-146c-be8d-5f0b-6f86236fbaf6,1,1,Mobile,,77521,1955,Female
8068,95,46698,73.8.67.141,1,06:47.0,17:54.0,17:54.0,44,21,56019114,8944e58c-494f-036b-b6a7-d26fa254c650,1,1,Desktop,,61607,1988,Male
8069,96,46698,50.110.60.177,0,06:49.0,11:47.0,,15,21,85159504,ecaa8a51-6382-69b4-587a-bd81859d6d8b,1,1,Tablet,,25621,1955,Female
8070,97,46698,24.177.51.47,1,06:51.0,17:24.0,17:24.0,44,21,92356293,07a30fa2-d82a-e9c8-5189-3888e348f678,1,1,Mobile,,6255,1956,Female
8071,98,46698,107.77.199.94,1,06:52.0,31:24.0,31:24.0,44,21,387356600,ffa21d51-6fe1-fb3f-507a-2a896df36099,1,1,Mobile,,70426,1960,Female
8072,99,46698,98.33.155.13,1,06:54.0,16:34.0,16:34.0,44,21,34693598,04eb9807-20a0-872e-192c-afc05d802eda,1,1,Mobile,,84037,1952,Female
8073,100,46698,65.111.109.65,0,06:56.0,09:31.0,,15,21,88863901,39d0589e-d6c6-bf92-22b5-6ffb87d54f44,1,1,Mobile,,78418,1954,Female
8074,101,46698,174.231.5.253,1,06:58.0,26:03.0,26:03.0,44,21,261034629,a199f649-dc86-1114-6b62-c1b2489dc299,1,1,Mobile,,46936,1978,Female
8075,102,46698,174.234.132.8,1,07:00.0,18:12.0,18:12.0,44,21,499439393,118bd6d9-346d-31f8-79f2-e1a07c789b1b,1,1,Mobile,,63366,1981,Female
8076,103,46698,65.24.206.183,1,07:05.0,12:01.0,12:01.0,44,21,159004248,8ae882ad-98da-69fa-1a86-b5c371cd467b,1,1,Desktop,,43512,1974,Female
8077,104,46698,184.53.49.22,1,07:09.0,25:11.0,25:11.0,44,21,110512568,7ed4d9ed-98fb-c78e-26c6-eeffd1e99634,1,1,Desktop,,14823,1950,Female
8078,105,46698,70.119.6.161,1,07:10.0,36:19.0,36:19.0,44,21,253472841,24096ade-dfb8-8df5-fbf5-5d2213a3c60e,1,1,Mobile,,75181,1954,Female
8079,106,46698,172.243.220.138,1,07:10.0,03:58.0,03:58.0,44,21,143726430,3f406ef5-0b1d-7195-b2de-596b2f000522,1,1,Desktop,,75935,1965,Female
8080,107,46698,184.60.143.196,1,07:11.0,15:12.0,15:12.0,44,21,99077423,ed9e03f7-7cb6-e496-6cdc-34b55cb7ad2d,1,1,Mobile,,37122,1974,Female
8081,108,46698,73.165.93.60,1,07:11.0,27:38.0,27:38.0,44,21,268007358,22f084b9-0398-62e8-0292-b3db838add69,1,1,Desktop,,19111,1946,Male
8082,109,46698,99.203.100.21,0,07:15.0,12:16.0,,29,21,608680843,28b6db62-b47b-3257-4449-ec9d6d192599,1,1,Mobile,,32809,1981,Male
8083,110,46698,174.101.35.191,1,07:19.0,15:52.0,15:52.0,44,21,106866210,5f4b6fe8-5eba-8171-b9c3-58604eb0c131,1,1,Mobile,,45133,1968,Female
8084,111,46698,73.86.2.144,1,07:19.0,20:09.0,20:09.0,44,21,235341264,08a78639-5af0-6fd0-5512-b18c6dfa74e8,1,1,Desktop,,32806,1986,Male
8085,112,46698,32.209.107.214,1,07:23.0,27:42.0,27:42.0,44,21,120305742,891e57a2-3888-b5f3-ec89-60356896e17a,1,1,Desktop,,6108,1955,Female
8086,113,46698,142.196.235.249,1,07:26.0,31:31.0,31:31.0,44,21,468972071,61cd7fa8-23ef-98b0-3f83-48e60bf4ea6c,1,1,Desktop,,32765,1951,Male
8087,114,46698,172.58.228.26,1,07:28.0,15:48.0,15:48.0,44,21,198255167,7750f9c9-dbb0-173c-a2e2-ce7b72a2551d,1,1,Mobile,,11793,1984,Female
8088,115,46698,71.45.88.47,1,07:30.0,16:58.0,16:58.0,44,21,254531640,4e80a932-a62b-478e-7219-9eab8e087fe2,1,1,Mobile,,35235,1982,Female
8089,116,46698,67.184.17.70,1,07:31.0,28:46.0,28:46.0,44,21,62521634,7b11e88c-a181-0755-e3a7-df3a2a907f50,1,1,Desktop,,60068,1991,Male
8090,117,46698,104.56.188.175,1,07:34.0,28:08.0,28:08.0,44,21,266037086,0edac89e-4bdb-27a0-28b5-fff144d6d54e,1,1,Mobile,,53218,1981,Male
8091,118,46698,99.203.187.117,1,07:34.0,27:12.0,27:12.0,44,21,57899176,af1cb2d1-7250-5c1f-eefa-8537fdb3bb0d,1,1,Mobile,,46526,1953,Female
8092,119,46698,70.106.210.132,1,07:36.0,25:45.0,25:45.0,44,21,379403358,b8eadb60-bdf5-3416-184b-ecc1ba9ea3a9,1,1,Mobile,,20148,1946,Female
8093,120,46698,174.23.22.215,1,07:37.0,26:42.0,26:42.0,44,21,98504997,1d64d8d6-f1a1-37ce-96fd-ef4f77b06f0c,1,1,Mobile,,84093,1952,Female
8094,121,46698,96.35.86.47,1,07:38.0,21:08.0,21:08.0,44,21,559239031,e1a0c89f-aff4-2162-52b4-ff8b6cfe2161,1,1,Desktop,,48858,1949,Male
8095,122,46698,68.248.156.17,1,07:38.0,21:24.0,21:24.0,44,21,96145821,a2632154-d259-cd37-917f-16484d490c8e,1,1,Tablet,,63137,1950,Female
8096,123,46698,174.87.224.67,1,07:44.0,22:24.0,22:24.0,44,21,110778332,5f0e0f96-5e0d-e073-fcbd-3825ce21404f,1,1,Mobile,,89523,1965,Female
8097,124,46698,71.73.89.179,1,07:44.0,23:20.0,23:20.0,44,21,387175893,b3e6c207-2846-2e6e-142c-f5cd566e21cf,1,1,Desktop,,44110,1998,Male
8098,125,46698,72.64.0.248,0,07:48.0,07:50.0,,2,21,126962716,dd5bb7f4-109b-aaf1-a9df-80706c821e2c,1,1,Desktop,,3038,1978,Female
8099,126,46698,204.193.117.66,1,07:50.0,20:50.0,20:50.0,44,21,301961482,90dba4ac-2157-4582-2987-93f0224cf062,1,1,Desktop,,33902,1949,Male
8100,127,46698,68.1.157.196,1,07:53.0,26:44.0,26:44.0,44,21,81765056,4d3f2f85-a5f8-c005-cdae-1814c1f4345e,1,1,Desktop,,31028,1961,Female
8101,128,46698,172.73.164.244,1,07:55.0,20:33.0,20:33.0,44,21,34651609,05ec80a1-272c-6cf4-1e8a-b7c7fc44287c,1,1,Mobile,,28027,1943,Female
8102,129,46698,66.30.239.30,1,07:58.0,16:55.0,16:55.0,44,21,47980475,b6dec723-4884-2043-2c08-f0f51ca1d6fe,1,1,Desktop,,6010,1971,Female
8103,130,46698,67.8.66.203,1,08:02.0,20:51.0,20:51.0,44,21,48493639,f862b65f-fc2e-5fb9-9074-81499c3b5582,1,1,Mobile,,32828,1957,Female
8104,131,46698,72.213.166.85,1,08:02.0,19:09.0,19:09.0,44,21,605335257,8cede0da-2248-22dd-1ff1-d7c687372d21,1,1,Mobile,,74037,1997,Female
8105,132,46698,173.218.208.106,0,08:04.0,09:03.0,,7,21,603405331,695c7069-b15d-9c12-ae42-4777fe357f95,1,1,Mobile,,26155,1990,Male
8106,133,46698,162.245.50.192,1,08:06.0,24:34.0,24:34.0,44,21,110568474,2dfd143a-b052-0b3b-0f11-23d6a449bee3,1,1,Desktop,,74361,1951,Male
8107,134,46698,73.74.151.5,1,08:10.0,24:35.0,24:35.0,44,21,602850334,9831b0b4-d433-72be-c39f-871a2e0d0b48,1,1,Desktop,,60173,1948,Female
8108,135,46698,172.58.142.160,1,08:11.0,14:16.0,14:16.0,44,21,92257434,0ca13394-db9e-dfee-53bf-048a8af60a4e,1,1,Mobile,,60618,1983,Male
8109,136,46698,173.113.39.230,1,08:11.0,20:44.0,20:44.0,44,21,121019976,1b87d854-aa13-37ab-757f-efac983f658c,1,1,Desktop,,15074,1974,Male
8110,137,46698,173.94.7.128,1,08:11.0,20:29.0,20:29.0,44,21,202309268,419f111d-5a7d-ffdd-6d36-26b40d9645ce,1,1,Desktop,,27021,1961,Female
8111,138,46698,100.11.250.116,1,08:15.0,22:20.0,22:20.0,44,21,51698838,22b1f5a4-7e6e-37d0-438f-c29ab6507178,1,1,Desktop,,11758,1952,Female
8112,139,46698,142.197.86.110,0,08:18.0,08:57.0,,7,21,200727468,685b601d-b6fb-a2cc-a936-577035c279c9,1,1,Desktop,,32114,1940,Female
8113,140,46698,99.203.22.139,1,08:23.0,30:07.0,30:07.0,44,21,581726387,aaeb1019-4d0a-ff1f-1932-27c02e1993e4,1,1,Mobile,,78201,1974,Female
8114,141,46698,67.81.245.108,1,08:23.0,20:10.0,20:10.0,44,21,390662135,c834138e-375d-d0db-c6a5-241ffd6da946,1,1,Desktop,,6824,1947,Female
8115,142,46698,76.31.22.61,1,08:30.0,23:02.0,23:02.0,44,21,110811327,5e6fc8aa-3e73-2ee9-9d81-ff4491692173,1,1,Desktop,,77095,1951,Female
8116,143,46698,98.166.56.222,1,08:34.0,42:08.0,42:08.0,44,21,188110215,b854eb01-78fa-2829-a62a-dc7f02c7b6d5,1,1,Desktop,,23185,1949,Female
8117,144,46698,98.11.135.186,1,08:35.0,24:54.0,24:54.0,44,21,52282599,8628d32b-fc52-1097-da00-e403486ee1f7,1,1,Desktop,,75459,1961,Male
8118,145,46698,172.58.173.64,1,08:35.0,22:04.0,22:04.0,44,21,410976140,c7873fa8-f279-fc73-7583-08aca0b92d6f,1,1,Mobile,,32209,1976,Male
8119,146,46698,98.122.153.132,0,08:38.0,09:31.0,,7,21,606959529,572bf21a-0f0d-3004-d931-c50037fcd2e1,1,1,Desktop,,10001,1992,Male
8120,147,46698,174.110.242.7,1,08:39.0,32:07.0,32:07.0,44,21,517795866,5b004acc-973c-894d-f2e7-7d2b52c3080d,1,1,Mobile,,28312,1958,Male
8121,148,46698,172.72.157.35,1,08:40.0,20:44.0,20:44.0,44,21,120052090,ccf40efc-d693-cdbe-06d7-39df02ae0724,1,1,Desktop,,29707,1950,Female
8122,149,46698,76.169.127.82,1,08:46.0,19:42.0,19:42.0,44,21,464809678,364f6220-e095-a1ec-bd0b-55646a752fe4,1,1,Mobile,,92833,1990,Female
8123,150,46698,108.14.79.225,1,08:47.0,35:40.0,35:40.0,44,21,429757619,fc9472fc-c08d-9327-66d7-45bfcb9fdd3a,1,1,Desktop,,11520,1964,Female
8124,151,46698,173.77.166.152,1,08:57.0,22:57.0,22:57.0,44,21,110499101,e7120762-5e55-c590-e049-3039fb6b50bb,1,1,Mobile,,10016,1959,Female
8125,152,46698,47.41.144.93,0,08:59.0,15:23.0,,7,21,477302746,a4ac6630-c530-a676-5e1b-51876e100bf3,1,1,Mobile,,61615,1960,Female
8126,153,46698,74.137.37.190,1,09:01.0,21:07.0,21:07.0,44,21,97580996,a91fcd8e-948b-0665-eda5-fa34ce431b54,1,1,Mobile,,47119,1948,Male
8127,154,46698,75.162.80.229,0,09:02.0,09:16.0,,3,21,227238604,aca326e6-e230-ca90-51cd-1188ae3dfc34,1,1,Mobile,,50316,1989,Male
8128,155,46698,108.31.241.92,0,09:11.0,09:19.0,,2,21,605270475,9e82329c-4ce2-d5a1-70b7-05a9d3fa4567,1,1,Mobile,,50131,1986,Male
8129,156,46698,99.67.157.4,1,09:13.0,20:00.0,20:00.0,44,21,132671619,0fe6ee8c-0500-2d8a-14a7-d9cd8bffda54,1,1,Mobile,,91311,1963,Male
